gene,DK20193B_01,DK20193B_02,DK20193B_03,DK20193B_04,DK20193B_05,DK20193B_06,DK20193B_07,DK20193B_08,DK20193B_09,DK20193B_10,DK20193B_11
PDILT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDK1,11.8804881837382,14.0251322830104,18.0272326484172,13.8863998465868,14.9808387229367,10.3515913184732,19.3112114793718,14.747065834888,5.41165085475007,13.0634333061975,9.33396345382146
PDK2,1.75800223469065,1.91571101332453,8.23132805760619,5.28383524459891,5.91139523228498,2.75717771023088,4.19885688599278,3.96760168160729,1.7471631527499,5.01547393126893,4.3237033832007
PDK3,7.12768861277683,7.96626365506426,9.88838641304834,8.78888817272045,10.0375913540037,4.10843715694484,6.2566658591121,7.4244666258921,6.72047352624192,8.08180493968287,3.89558490646466
PDK4,25.8799310054725,12.3811885031432,27.5845892871023,24.0309778966745,10.6125521163387,6.59983889737248,53.2691194182333,17.6648350112945,31.9936266675246,32.4148724644417,26.909015956601
PDLIM1,23.6506933548004,20.9400550984946,33.836431102624,47.3895366916432,31.4794267417134,17.7736167774177,38.8354399388958,14.6786195377641,29.3810917522563,42.1712475803215,21.8128099161347
PDLIM2,52.2250887474629,63.7393723377873,63.0340410279,71.1584836503543,51.5123281019658,48.598545369069,60.7047167907012,50.9180280924555,49.8269677659018,49.9133303762615,46.2400353320566
PDLIM3,0.0,0.0,0.851759888190196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDLIM4,0.0,0.0,0.0,1.01954613252718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDLIM5,22.3493394142252,20.4261688875576,18.378372756494,23.113279201357,22.626133647223,21.4833465574295,16.6452909212533,22.779263366635,30.8095597105773,21.0823693336411,13.5939619000246
PDLIM7,10.9072082605326,25.2570784474186,14.1860534793149,16.391302095621,19.8662680208558,12.1170422254737,20.623748995483,18.4622025709818,9.48496423759356,10.696676633771,6.70640974265281
PDP1,23.3495002830361,10.9046411477338,15.0397155406266,19.4941783135553,18.0707266854422,11.6255196002276,16.8190821372351,19.5731868151961,20.9954861795462,22.2049035105144,20.5095451484722
PDP2,2.25093512068095,1.40163683392628,5.35331617459812,3.86593700809565,4.68551798426628,1.84919071405109,2.8160996421798,3.77378300108489,4.47411365523827,2.52284277483818,2.37258981601905
PDPK1,10.7360599696694,10.3492764971071,12.8893438525811,9.30813532856653,13.6534660949831,6.90789361252566,10.3555347271808,11.1830809774016,13.3373325802543,6.92105031231142,8.46304800887278
PDPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDPR,12.355840258102,8.79299358653127,7.87110006804133,12.6314962975053,12.4359280539835,5.00937890828423,5.82189807162603,12.0648161607778,7.01694827855657,4.31638336278824,7.85552140985103
PDRG1,28.917408207845,16.6825919379569,37.1678734021407,28.9712981504356,30.5056122984826,17.7854362128756,21.668099531115,15.3560344763738,37.1917971343202,13.3455259094317,29.2849815091587
PDS5A,32.5460697991436,34.0471181431659,37.5888902831293,30.3242515044509,27.7243557702938,17.1847811869293,30.3162031143556,28.2057997806838,34.2861290877084,24.1415112959811,22.1458247584688
PDS5B,58.683102339079,60.8389504666945,63.6033230066294,55.5262151255251,65.3184589630057,42.1832313402118,49.3156266330654,68.795623937244,60.7513413477991,60.456983095432,43.7660229593588
PDSS1,2.50994730659488,16.4106743548736,5.22315091027755,6.28656199395455,7.03321562429751,3.28041428268111,8.99223219727254,9.06344345451311,4.98894411268835,8.05581865384431,3.08653409166154
PDSS2,7.63445154601975,6.23949842844315,11.9153574770143,7.64867896752892,8.55711094098678,3.99118560396811,9.62366712864678,10.9123636988603,6.32281734793859,7.26020933553886,4.17255239777145
PDX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDXDC1,10.5625898085823,12.7890556844304,9.76912949148395,10.5822740539442,14.4700459341703,6.74908148550403,13.5483467184423,15.3625935865772,13.9966205935372,15.4857483262914,9.62150744486119
PDXDC2P,0.467432645997197,0.4630596388715,0.486359064992867,0.383157609347518,0.381035695182188,0.155506474993129,0.338311491969543,0.498698821653163,0.506782536364678,0.333389259177411,0.174185329736301
PDXK,14.3819644664231,18.0570509108015,17.5667780313733,12.529362110575,17.1714029334422,15.8546330673828,23.3979941573357,22.8619901234398,18.3326999541187,10.4807123337171,10.5089530445278
PDXP,8.15388617531459,5.0773507854397,6.06002733418112,10.503104921371,10.4449390737697,9.74340306046014,8.34640604445098,7.36094001757746,2.31531795354439,6.6464410151529,4.77476304620293
